#Controller/Action/Helper/Eventdocuments.php
"This license key is not valid";"This license key is not valid"

#controllers/license/license2.php
"missing level";"missing level"

#Form/Create.php
"Add New Document";"Add New Document"
"Add new document by filling the information below, then click 'Submit'.";"Add new document by filling the information below, then click 'Submit'."
"Document Title";"Document Title"
"Document description";"Document description"
"Only on this website";"Only on this website"
"Public on Scribd.com";"Public on Scribd.com"
"License Associated";"License Associated"
"LICENSES-INFO";"Choose the license to be associated with your document. See here for more information on licenses : <a href='http://creativecommons.org/about/licenses/meet-the-licenses' target='_parent'>http://creativecommons.org/about/licenses/meet-the-licenses</a>"
"Unspecified - no licensing information associated";"Unspecified - no licensing information associated"
"By attribution (by)";"By attribution (by)"
"By attribution, non-commercial (by-nc)";"By attribution, non-commercial (by-nc)"
"By attribution, non-commercial, non-derivative (by-nc-nd)";"By attribution, non-commercial, non-derivative (by-nc-nd)"
"By attribution, non-commercial, share alike (by-nc-sa)";"By attribution, non-commercial, share alike (by-nc-sa)"
"By attribution, non-derivative (by-nd)";"By attribution, non-derivative (by-nd)"
"By attribution, share alike (by-sa)";"By attribution, share alike (by-sa)"
"Public domain";"Public domain"
"Copyright - all rights reserved";"Copyright - all rights reserved"
"Document File";"Document File"
"Browse and choose a file for your document. Maximum permissible size: %s KB and allowed file types: pdf, txt, ps, rtf, epub, odt, odp, ods, odg, odf, sxw, sxc, sxi, sxd, doc, ppt, pps, xls, docx, pptx, ppsx, xlsx, tif, tiff";"Browse and choose a file for your document. Maximum permissible size: %s KB and allowed file types: pdf, txt, ps, rtf, epub, odt, odp, ods, odg, odf, sxw, sxc, sxi, sxd, doc, ppt, pps, xls, docx, pptx, ppsx, xlsx, tif, tiff"
"Status";"Status"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Allow Document Download";"Allow Document Download"
"Yes, allow document download.";"Yes, allow document download."
"No, do not allow document download.";"No, do not allow document download."
"Allow Email Attachment";"Allow Email Attachment"
"Yes, allow document to be emailed as attachment.";"Yes, allow document to be emailed as attachment."
"No, do not allow document to be emailed as attachment.";"No, do not allow document to be emailed as attachment."
"Secure iPaper Document";"Secure iPaper Document"
"Make iPaper document secure. Do not allow embedding on other sites.";"Make iPaper document secure. Do not allow embedding on other sites."
"Do not make iPaper document secure. Allow embedding on other sites.";"Do not make iPaper document secure. Allow embedding on other sites."
"Show this document in search results";"Show this document in search results"
"Submit";"Submit"
"Document Visibility";"Document Visibility"
"LICENSES-INFO";"Choose the license to be associated with your document. See here for more information on licenses : <a href='http://creativecommons.org/about/licenses/meet-the-licenses' target='_parent'>http://creativecommons.org/about/licenses/meet-the-licenses</a>"

#Form/Edit.php
"Edit Event Document";"Edit Event Document"
"You can edit your event document here.";"You can edit your event document here."
"Document File";"Document File"
"Save Changes";"Save Changes"

#Form/Admin/Global.php
"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"License key";"License key"
"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )";"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )"
"Scribd API Key";"Scribd API Key"
"The Scribd API Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]";"The Scribd API Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]"
"Scribd Secret Key";"Scribd Secret Key"
"The Scribd Secret Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]";"The Scribd Secret Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]"
"Visibility for Event Documents";"Visibility for Event Documents"
"Event documents visible only on this website will be private and available only on your website, whereas the ones which will be public on Scribd.com will be available to everyone on Scribd.(Note : This setting will only apply to new event documents created and not to the existing event documents on the site.)";"Event documents visible only on this website will be private and available only on your website, whereas the ones which will be public on Scribd.com will be available to everyone on Scribd.(Note : This setting will only apply to new event documents created and not to the existing event documents on the site.)"
